,ts_code,name,enname,classify,list_date,delist_date
91,AASL,,AMERICAS SUPPLIERS,EQ,20091214,
92,AASP,,GLOBAL ACQUISITIONS,EQ,20110223,NaT
93,AASZF,,ATLANTIC SAPPHIRE (OTC),EQ,20180502,NaT
94,AAT,,AMERICAN ASSETS TRUST,EQ,20110113,NaT
95,AATC,,AUTOSCOPE TECHNOLOGIES,EQ,19950505,NaT
96,AATGF,,ATI AIRTEST TECHS. (OTC),EQ,20140113,NaT
97,AATV,,ADAPTIVE AD SYSTEMS,EQ,20010821,NaT
98,AAUAF,,ALMADEN MINERALS (OTC),EQ,20051219,NaT
99,AAUCF,,ALLIED GOLD (OTC),EQ,20231109,NaT
100,AAUGF,,AERO ENERGY (OTC),EQ,20210322,NaT
101,AAUKF,,ANGLO AMERICAN (OTC),EQ,20140113,NaT
102,AAVMY,,ABN AMRO BK N V AMSTD. BRH UNSP.NETH.ADR 1:1,ADR,20190809,NaT
103,AAVVF,,ADVANTAGE ENERGY (OTC),EQ,20051212,NaT
104,AAVXF,,ABIVAX (OTC),EQ,20160930,NaT
105,AAWH,,ASCEND WELLNESS (OTC) HOLDINGS A,EQ,20210526,NaT
106,AAXT,,AAMAXAN TRANSPORT GROUP,EQ,19930928,NaT
107,AAYYY,,AUSTRALIAN AGRICULTURAL UNSP.ADR,ADR,20220330,NaT
108,AB,,ALLIANCEBERNSTEIN HLDG. UNT.,EQ,19880414,NaT
109,ABANF,,AUTOMATIC BANK (OTC) SERVICES,EQ,20201013,NaT
110,ABAT,,AMERICAN BATTERY TECHNOLOGY COMPANY,EQ,20160614,NaT
111,ABBB,,AUBURN BANCORP,EQ,20080818,NaT
112,ABBNY,,ABB ADR 1:1 (OTC),ADR,20010406,NaT
113,ABBRF,,ABRASILVER RESOURCE(OTC),EQ,20170330,NaT
114,ABBV,,ABBVIE,EQ,20121210,NaT
115,ABBY,,ABBY,EQ,20120904,NaT
116,ABCAF,,ATHABASCA MRLS. (OTC),EQ,20131118,NaT
117,ABCB,,AMERIS BANCORP,EQ,19940518,NaT
118,ABCCF,,ABC ARBITRAGE (OTC),EQ,20240328,NaT
119,ABCE,,ABCO ENERGY,EQ,20040819,NaT
120,ABCFF,,ABACUS MNG.& EXP. (OTC),EQ,20140113,NaT
121,ABCGF,,ABACUS PROPERTY (OTC) GROUP UNIT DEFERRED,EQ,20210126,NaT
122,ABCL,,ABCELLERA BIOLOGICS,EQ,20201211,NaT
123,ABCM,,ABCAM ADR 1:1,ADR,20201022,
124,ABCP,,AMBASE,EQ,20110223,NaT
125,ABCZF,,ABCAM (OTC),EQ,20110411,NaT
126,ABDBY,,ALM BRAND A S DENMARK ADR 1:2,ADR,20211111,NaT
127,ABDDF,,AB DYNAMICS (OTC),EQ,20180702,NaT
128,ABDR,,AMBASSADOR FOOD,EQ,19721214,
129,ABDXF,,ABINGDON HEALTH (OTC),EQ,20220819,NaT
130,ABENU,,ADVANCED BIOENERGY UNT.,EQ,20161102,NaT
131,ABEO,,ABEONA THERAPEUTICS,EQ,20120724,NaT
132,ABEPF,,VISION LITHIUM (OTC),EQ,20171214,NaT
133,ABEV,,AMBEV SPONSORED ADR 1:1,ADR,20131111,NaT
134,ABFOF,,ABERTIS INFSTS. (OTC),EQ,20140113,NaT
135,ABG,,ASBURY AUTOMOTIVE GP.,EQ,20020308,NaT
136,ABGOF,,ABENGOA (OTC),EQ,20140113,NaT
137,ABGSF,,ABG SUNDAL CLI. (OTC) HLDG.,EQ,20140113,NaT
138,ABHBY,,ALFEN BEHEER B V NETHERLANDS ADR 2:1,ADR,20230105,NaT
139,ABILF,,ABILITY,EQ,20140205,NaT
140,ABIO,,ARCA BIOPHARMA,EQ,19970807,NaT
141,ABIT,,ATHENA BITCOIN GLOBAL,EQ,19940126,NaT
142,ABKB,,AMERICAN BBALL.AS.,EQ,20060927,
143,ABL,,ABACUS LIFE A,EQ,20200914,NaT
144,ABLE,,ABLE ENERGY,EQ,19990622,NaT
145,ABLGF,,ALTEN (OTC),EQ,20240205,NaT
146,ABLLW,,ABACUS LF.EQ.WARRT. EXP WARRANT 30 JE.2028,EQ,20200914,NaT
147,ABLT,,AMER.BILTRITE,EQ,20120127,NaT
148,ABLV,,ABLE VIEW GLOBAL B,EQ,20220912,NaT
149,ABLVW,,ABLE VIEW GLEQ. WARRT. EXP 18 AUG.2028,EQ,20220912,NaT
150,ABLZF,,ABB (OTC),EQ,20100512,NaT
151,ABM,,ABM INDS.,EQ,19690213,NaT
152,ABMAF,,ALBIOMA (OTC),EQ,20201117,
153,ABMBF,,ABCOURT MINES (OTC),EQ,20140113,NaT
154,ABMC,,AMERICAN BIO MEDICA,EQ,19901002,NaT
155,ABMRF,,ABN AMRO BANK (OTC),EQ,20170425,NaT
156,ABMT,,ADVANCED BIOMED.TECHS.,EQ,20070731,NaT
157,ABNAF,,ABEN MINERALS (OTC),EQ,20140113,NaT
158,ABNB,,AIRBNB A,EQ,20201210,NaT
159,ABOIF,,ABOITIZ EQUITY (OTC) VENTURES PHP1,EQ,20210408,NaT
160,ABOS,,ACUMEN PHARMACEUTICALS,EQ,20210701,NaT
161,ABPR,,AIRBORNE SCTY.& PROTECT. SVS.NEW,EQ,19961209,NaT
162,ABQQ,,AB INTL GROUP,EQ,20160323,NaT
