,ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
176,00206.HK,华商能源,华商能源科技股份有限公司,"CM Energy Tech Co., Ltd.",HSNY,主板,L,20090605,,1000.0,KYG2124A1076,HKD
177,00207.HK,大悦城地产,大悦城地产有限公司,Joy City Property Limited,DYCDC,主板,L,19730306,,2000.0,BMG5210S1061,HKD
178,00209.HK,瀛晟科学,瀛晟科学有限公司,Winshine Science Company Limited,YSKX,主板,L,20020306,,10000.0,BMG9723F1225,HKD
179,00210.HK,达芙妮国际,达芙妮国际控股有限公司,Daphne International Holdings Limited,DFNGJ,主板,L,19951103,,2000.0,KYG2830J1031,HKD
180,00211.HK,STYLAND HOLD,大凌集团有限公司,Styland Holdings Ltd.,STYLANDHOLD,主板,L,19911205,,10000.0,BMG8540A3088,HKD
181,00212.HK,NANYANG HOLD,南洋集团有限公司,Nanyang Holdings Limited,NANYANGHOLD,主板,L,19540915,,500.0,BMG6362N1011,HKD
182,00213.HK,NATIONAL ELEC H,乐声电子有限公司,National Electronics Holdings Ltd.,NATIONALELECH,主板,L,19850204,,2000.0,BMG6374F1041,HKD
183,00214.HK,汇汉控股,汇汉控股有限公司,Asia Orient Holdings Ltd.,HHKG,主板,L,19860106,,2000.0,BMG0534H1189,HKD
184,00215.HK,和记电讯香港,和记电讯香港控股有限公司,Hutchison Telecommunications Hong Kong Holdings Limited,HJDXXG,主板,L,20090508,,2000.0,KYG4672G1064,HKD
185,00216.HK,建业实业,建业实业有限公司,"Chinney Investments,Ltd.",JYSY,主板,L,19730131,,4000.0,HK0216001088,HKD
186,00217.HK,中国诚通发展集团,中国诚通发展集团有限公司,China Chengtong Development Group Ltd.,ZGCTFZJT,主板,L,19720110,,2000.0,HK0217012357,HKD
187,00218.HK,申万宏源香港,申万宏源(香港)有限公司,Shenwan Hongyuan (H.K.) Limited,SWHYXG,主板,L,19730201,,5000.0,HK0218001102,HKD
188,00219.HK,顺豪物业,顺豪物业投资有限公司,Shun Ho Property Investments Ltd.,SHWY,主板,L,19730510,,2000.0,HK0219009344,HKD
189,00220.HK,统一企业中国,统一企业中国控股有限公司,Uni-President China Holdings Ltd.,TYQYZG,主板,L,20071217,,1000.0,KYG9222R1065,HKD
190,00222.HK,闽信集团,闽信集团有限公司,Min Xin Holdings Ltd.,MXJT,主板,L,19820628,,2000.0,HK0222001130,HKD
191,00223.HK,易生活控股,易生活控股有限公司,Elife Holdings Limited,YSHKG,主板,L,20020410,,20000.0,KYG3002T1195,HKD
