index,0,1,2,3,4,5,6,7,8,9,10,11,12,benchmark,long_short
2018-04-16,,,,,,,,,,,,,,,
2018-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2018-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2018-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2018-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2018-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2018-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2018-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2018-04-26,-0.01060367454068245,-0.12724409448818896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.12724409448818896
2018-04-27,0.007420188237911907,0.11501675056525662,0.0,0.0,-0.012283464566929081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.11501675056525662
2018-05-02,0.0011702531520256798,0.014383607400121567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.014383607400121567
2018-05-03,0.00013158710716054678,0.0015962725864568927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0015962725864568927
2018-05-04,1.6183648380296844e-05,0.00019603544104840331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00019603544104840331
2018-05-07,1.9048101680407825e-06,2.306915889804806e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.306915889804806e-05
