index,0,1,2,benchmark,long_short
2018-04-02,1.0,1.0,1.0,1.0,1.0
2018-04-03,1.0,1.0,1.0,1.0,1.0
2018-04-04,1.0,1.0,1.0,1.0,1.0
2018-04-09,1.0,1.0,1.0,1.0,1.0
2018-04-10,1.0,1.0,1.0,1.0,1.0
2018-04-11,1.0,1.0,1.0,1.0,1.0
2018-04-12,1.0,1.0,1.0,1.0,1.0
2018-04-13,1.0,1.0,1.0,1.0,1.0
2018-04-16,1.0,1.0,1.0,1.0,1.0
2018-04-17,1.0,1.0,1.0,1.0,1.0
2018-04-18,1.0,1.0,1.0,1.0,1.0
2018-04-19,1.0,1.0,1.0,1.0,1.0
2018-04-20,1.0,1.0,1.0,1.0,1.0
2018-04-23,1.0,1.0,1.0,1.0,1.0
2018-04-24,1.0196051549218534,1.0,1.039210309843707,1.0,0.9607896901562929
2018-04-25,1.0205648478201261,1.00219358376748,1.0389361118727722,1.0,0.963150769339135
2018-04-26,1.017274472168906,0.9983548121743899,1.036194132163422,1.0,0.9620035117552791
2018-04-27,1.0263230052097616,1.0076775431861802,1.0449684672333428,1.0,0.9628406907832653
2018-05-02,1.057992870852756,1.042226487523992,1.0737592541815193,1.0,0.9693243546769679
2018-05-03,1.0425006854949277,1.0304359747737863,1.0545653962160682,1.0,0.9756856142141708
2018-05-04,1.0444200712914726,1.0298875788319164,1.0589525637510282,1.0,0.9711073417877546
2018-05-07,1.042089388538525,1.0265972031806962,1.0575815738963532,1.0,0.9692620220556499
2018-05-08,1.0394845078146422,1.0202906498491908,1.0586783657800933,1.0,0.962302490207622
2018-05-09,1.0094598299972581,1.00438716753496,1.0145324924595558,1.0,0.9874299730504354
2018-05-10,1.0123389086920755,1.0123389086920755,1.0123389086920755,1.0,0.9973824476900811
2018-05-11,1.0123389086920755,1.0123389086920755,1.0123389086920755,1.0,0.9973824476900811
2018-05-14,1.0123389086920755,1.0123389086920755,1.0123389086920755,1.0,0.9973824476900811
2018-05-15,1.0123389086920755,1.0123389086920755,1.0123389086920755,1.0,0.9973824476900811
2018-05-16,1.0123389086920755,1.0123389086920755,1.0123389086920755,1.0,0.9973824476900811
2018-05-17,1.0123389086920755,1.0123389086920755,1.0123389086920755,1.0,0.9973824476900811
2018-05-18,1.0123389086920755,1.0123389086920755,1.0123389086920755,1.0,0.9973824476900811
