index,0,1,2,benchmark,long_short
2018-04-02,,,,,
2018-04-03,0.0,0.0,0.0,,0.0
2018-04-04,0.0,0.0,0.0,,0.0
2018-04-09,0.0,0.0,0.0,,0.0
2018-04-10,0.0,0.0,0.0,,0.0
2018-04-11,0.0,0.0,0.0,,0.0
2018-04-12,0.0,0.0,0.0,,0.0
2018-04-13,0.0,0.0,0.0,,0.0
2018-04-16,0.0,0.0,0.0,,0.0
2018-04-17,0.0,0.0,0.0,,0.0
2018-04-18,0.0,0.0,0.0,,0.0
2018-04-19,0.0,0.0,0.0,,0.0
2018-04-20,0.0,0.0,0.0,,0.0
2018-04-23,0.0,0.0,0.0,,0.0
2018-04-24,0.01960515492185344,0.0,0.0392103098437071,,-0.0392103098437071
2018-04-25,0.0009412397472099432,0.002193583767480023,-0.0002638522427439449,,0.002457436010223968
2018-04-26,-0.003224073078989864,-0.0038303693570450603,-0.0026392187912378517,,-0.0011911505658072086
2018-04-27,0.008894878706199538,0.009338093930238767,0.008467848637205844,,0.000870245293032923
2018-05-02,0.03085760085492928,0.03428571428571425,0.027551823668328534,,0.006733890617385718
2018-05-03,-0.014642995982894869,-0.011312812417784701,-0.017875383043922444,,0.0065625706261377426
2018-05-04,0.0018411362440819978,-0.000532197977647697,0.004160166406656174,,-0.004692364384303871
2018-05-07,-0.002231556839065396,-0.0031948881789136685,-0.001294665976178,,-0.0019002222027356686
2018-05-08,-0.00249967109590854,-0.006143162393162482,0.0010370754472388555,,-0.007180237840401338
2018-05-09,-0.028884199419678014,-0.01558720773985478,-0.041699041699041706,,0.026111833959186925
2018-05-10,0.0028520983294850755,0.00791700791700789,-0.002162162162162251,,0.010079170079170141
2018-05-11,0.0,0.0,0.0,,0.0
2018-05-14,0.0,0.0,0.0,,0.0
2018-05-15,0.0,0.0,0.0,,0.0
2018-05-16,0.0,0.0,0.0,,0.0
2018-05-17,0.0,0.0,0.0,,0.0
2018-05-18,0.0,0.0,0.0,,0.0
2018-05-21,0.0,0.0,0.0,,0.0
2018-05-22,0.0,0.0,0.0,,0.0
2018-05-23,0.0,0.0,0.0,,0.0
2018-05-24,0.0,0.0,0.0,,0.0
2018-05-25,0.0,0.0,0.0,,0.0
2018-05-28,0.0,0.0,0.0,,0.0
2018-05-29,0.0,0.0,0.0,,0.0
2018-05-30,0.0,0.0,0.0,,0.0
2018-05-31,0.022189742226946585,0.0,0.04437948445389317,,-0.04437948445389317
2018-06-01,0.005849473547380857,0.009301089556205344,0.0025445292620864812,,0.006756560294118863
2018-06-04,-0.003489273714138208,-0.0005265929436545358,-0.006345177664974666,,0.00581858472132013
2018-06-05,0.004409285436389743,0.0010537407797681642,0.00766283524904221,,-0.006609094469274046
2018-06-06,0.007359586830212761,0.011842105263157876,0.003041825095057016,,0.00880028016810086
2018-06-07,0.007690335811330495,0.009622886866059943,0.005812484205206081,,0.003810402660853862
2018-06-08,-0.0002543881963877892,-0.001803194229778593,0.0012562814070351536,,-0.0030594756368137466
2018-06-11,-0.0017811704834604924,-0.0018064516129031594,-0.0017565872020074424,,-4.9864410895716915e-05
2018-06-12,0.01147081315319931,0.013960703205791125,0.009049773755656076,,0.004910929450135049
2018-06-13,-0.009576612903225978,0.0020397756246810506,-0.020926756352765308,,0.02296653197744636
2018-06-14,0.0,0.0,0.0,,0.0
2018-06-15,0.0,0.0,0.0,,0.0
2018-06-19,0.0,0.0,0.0,,0.0
2018-06-20,0.0,0.0,0.0,,0.0
2018-06-21,0.0,0.0,0.0,,0.0
2018-06-22,0.0,0.0,0.0,,0.0
2018-06-25,0.0,0.0,0.0,,0.0
2018-06-26,0.0,0.0,0.0,,0.0
2018-06-27,0.0,0.0,0.0,,0.0
2018-06-28,0.0,0.0,0.0,,0.0
2018-06-29,0.0,0.0,0.0,,0.0
2018-07-02,0.0,0.0,0.0,,0.0
2018-07-03,0.0,0.0,0.0,,0.0
2018-07-04,0.0,0.0,0.0,,0.0
2018-07-05,0.0,0.0,0.0,,0.0
2018-07-06,0.0,0.0,0.0,,0.0
2018-07-09,0.0,0.0,0.0,,0.0
2018-07-10,0.0,0.0,0.0,,0.0
2018-07-11,0.0,0.0,0.0,,0.0
2018-07-12,0.0,0.0,0.0,,0.0
2018-07-13,0.0,0.0,0.0,,0.0
2018-07-16,0.0,0.0,0.0,,0.0
2018-07-17,0.0,0.0,0.0,,0.0
2018-07-18,0.0,0.0,0.0,,0.0
2018-07-19,0.0,0.0,0.0,,0.0
2018-07-20,0.0,0.0,0.0,,0.0
2018-07-23,0.0,0.0,0.0,,0.0
2018-07-24,0.0,0.0,0.0,,0.0
2018-07-25,0.0,0.0,0.0,,0.0
2018-07-26,0.0,0.0,0.0,,0.0
2018-07-27,0.0,0.0,0.0,,0.0
2018-07-30,0.0,0.0,0.0,,0.0
2018-07-31,0.0010610705022400246,0.0021221410044800493,0.0,,0.0021221410044800493
2018-08-01,-0.005888587916617505,-0.005647058823529338,-0.0061306295684978585,,0.00048357074496852004
2018-08-02,0.0015401018836629365,-0.0009465215333649413,0.004033214709371125,,-0.004979736242736066
2018-08-03,0.010172699313934386,0.008289909995262912,0.01205103969754262,,-0.0037611297022797086
2018-08-06,0.003278688524589901,0.0028188865398166563,0.003735699276208315,,-0.0009168127363916589
2018-08-07,0.0012838468720821616,0.0,0.0025587345894393376,,-0.0025587345894393376
2018-08-08,-0.0029140925515792615,-0.008667135160459138,0.0027842227378191975,,-0.011451357898278336
2018-08-09,0.00011690437222355854,0.003071833648393252,-0.002776492364646055,,0.005848326013039307
2018-08-10,-0.0038573933372295643,-0.005418138987043575,-0.002320185614849146,,-0.0030979533721944286
2018-08-13,0.020183055620746293,0.018237801989578584,0.02209302325581386,,-0.003855221266235276
2018-08-14,-0.003910743041177889,-0.009071877180739873,0.0011376564277587597,,-0.010209533608498633
2018-08-15,0.002309468822170979,0.0016431924882629456,0.002954545454545432,,-0.0013113529662824863
2018-08-16,-0.006451612903225823,-0.00773377079915627,-0.005211874008610895,,-0.002521896790545375
2018-08-17,0.02029220779220786,0.008266414737836403,0.03189066059225509,,-0.02362424585441869
2018-08-20,0.018070235254006084,0.029749355821035328,0.007064017660044275,,0.022685338160991053
2018-08-21,-0.010046885465505584,-0.0052320291173793,-0.014686540990793473,,0.009454511873414173
2018-08-22,0.007593759970075942,0.021344949328752305,-0.005784204671857696,,0.02712915400061
2018-08-23,0.00015281520993237763,0.00030572138129869586,0.0,,0.00030572138129869586
2018-08-24,5.8225356625030145e-06,1.164675653075875e-05,0.0,,1.164675653075875e-05
2018-08-27,3.286544791869517e-08,6.574002497927722e-08,0.0,,6.574002497927722e-08
2018-08-28,1.0524237037401463e-09,2.105139618180374e-09,0.0,,2.105139618180374e-09
2018-08-29,-6.041690481239925e-10,-1.2085059619693084e-09,0.0,,-1.2085059619693084e-09
